run_set,label,model,harness,agent_mode,runs,successes,success_rate,wilson_low,wilson_high,total_cost_usd,mean_cost_usd,cost_per_success_usd,total_tokens,mean_tokens,mean_steps,runs_at_step_cap,total_duration_s
glm_old,glm-5.2 · harness 6c0af80,z-ai/glm-5.2,6c0af80,single,12,11,0.9166666666666666,0.646120088858883,0.9851349055950829,0.3764755,0.03137295833333333,0.03422504545454546,1681762,140146.83333333334,21.416666666666668,0,2033.6499999999999
glm_old,glm-5.2 · harness 6c0af80,z-ai/glm-5.2,6c0af80,multi-graph,12,11,0.9166666666666666,0.646120088858883,0.9851349055950829,0.76416042,0.063680035,0.06946912909090909,1722376,143531.33333333334,34.333333333333336,3,2834.25
glm_old,glm-5.2 · harness 6c0af80,z-ai/glm-5.2,6c0af80,multi-orch-guarded,12,11,0.9166666666666666,0.646120088858883,0.9851349055950829,0.97067375,0.08088947916666667,0.08824306818181818,1905302,158775.16666666666,37.666666666666664,3,2988.28
glm_new,glm-5.2 · harness fd00518,z-ai/glm-5.2,fd00518,single,12,10,0.8333333333333334,0.5519691377470266,0.9530348578161463,1.62710936,0.13559244666666667,0.162710936,2405124,200427.0,27.833333333333332,1,6664.6900000000005
glm_new,glm-5.2 · harness fd00518,z-ai/glm-5.2,fd00518,multi-graph,12,9,0.75,0.46769466506643426,0.9110583316059453,1.63538657,0.13628221416666667,0.1817096188888889,2374737,197894.75,41.583333333333336,6,4678.68
glm_new,glm-5.2 · harness fd00518,z-ai/glm-5.2,fd00518,multi-orch-guarded,12,10,0.8333333333333334,0.5519691377470266,0.9530348578161463,2.31824662,0.19318721833333333,0.23182466200000001,3120206,260017.16666666666,45.0,7,8713.41
deepseek,DeepSeek V4 Flash · harness fd00518,deepseek/deepseek-v4-flash-0731:nitro,fd00518,single,12,9,0.75,0.46769466506643426,0.9110583316059453,0.36847612,0.030706343333333334,0.04094179111111111,2318477,193206.41666666666,31.583333333333332,4,2802.21
deepseek,DeepSeek V4 Flash · harness fd00518,deepseek/deepseek-v4-flash-0731:nitro,fd00518,multi-graph,12,11,0.9166666666666666,0.646120088858883,0.9851349055950829,0.42419292,0.03534941,0.038562992727272725,2422980,201915.0,43.666666666666664,6,3592.59
deepseek,DeepSeek V4 Flash · harness fd00518,deepseek/deepseek-v4-flash-0731:nitro,fd00518,multi-orch-guarded,12,11,0.9166666666666666,0.646120088858883,0.9851349055950829,0.47600357,0.039666964166666666,0.043273051818181814,2670945,222578.75,44.083333333333336,6,4261.91
