block,agent_mode,step_budget,runs,successes,success_rate,wilson_low,wilson_high,total_cost_usd,mean_cost_usd,cost_per_success_usd,total_tokens,mean_tokens,total_steps,mean_steps,total_duration_s,mean_duration_s
Core small,single,50,12,11,0.9166666666666666,0.646120088858883,0.9851349055950829,0.3764755,0.03137295833333333,0.03422504545454546,1681762,140146.83333333334,257,21.416666666666668,2033.6499999999999,169.47083333333333
Core small,multi-graph,50,12,11,0.9166666666666666,0.646120088858883,0.9851349055950829,0.76416042,0.063680035,0.06946912909090909,1722376,143531.33333333334,412,34.333333333333336,2834.25,236.1875
Core small,multi-orch-guarded,50,12,11,0.9166666666666666,0.646120088858883,0.9851349055950829,0.97067375,0.08088947916666667,0.08824306818181818,1905302,158775.16666666666,452,37.666666666666664,2988.28,249.02333333333334
Core medium,single,50,12,11,0.9166666666666666,0.646120088858883,0.9851349055950829,0.47638338,0.039698615,0.043307580000000005,1434864,119572.0,236,19.666666666666668,2047.75,170.64583333333334
Core medium,multi-graph,75,12,10,0.8333333333333334,0.5519691377470266,0.9530348578161463,0.7273928,0.06061606666666666,0.07273927999999999,1898924,158243.66666666666,490,40.833333333333336,3486.52,290.54333333333335
Core medium,multi-orch-guarded,75,12,10,0.8333333333333334,0.5519691377470266,0.9530348578161463,0.9330787,0.07775655833333334,0.09330787,2139870,178322.5,501,41.75,4540.52,378.3766666666667
SWE-bench Pro,single,50,15,9,0.6,0.357468301206246,0.8017550385865841,3.30768217,0.22051214466666666,0.36752024111111115,4811418,320761.2,428,28.533333333333335,7328.76,488.584
SWE-bench Pro,multi-graph,75,15,9,0.6,0.357468301206246,0.8017550385865841,3.44122414,0.22941494266666668,0.3823582377777778,4642641,309509.4,742,49.46666666666667,7276.12,485.07466666666664
