task_type,agent_mode,runs,successes,success_rate,wilson_low,wilson_high,total_cost_usd,cost_per_success_usd
bugfix,single,18,18,1.0,0.8241207763533425,1.0,0.6476042,0.03597801111111111
bugfix,multi-graph,18,16,0.8888888888888888,0.672002348698212,0.9689804773543876,1.16338453,0.072711533125
feature,single,21,13,0.6190476190476191,0.4087865377511576,0.7924898863143551,3.51293685,0.27022591153846154
feature,multi-graph,21,14,0.6666666666666666,0.4537345197425524,0.8280524739491653,3.76939283,0.269242345
